ExternalId	Name	TypeOne	TypeTwo	X	Y	Geometry	Poly15
1292	Všeobecná ambulancia pre deti a dorast, Košice-Luník IX, (MUDr. Pavol Štroncer)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2217017	48.6971085	POINT (21.221701676721143 48.697108546942964)	POLYGON ((21.21897431319291 48.6926599611862, 21.21902111305268 48.692706061299056, 21.21902861378661 48.69271271925082, 21.219035868169044 48.69271949579069, 21.219038571980317 48.692721558538835, 21.21904103837987 48.69272374781236, 21.21904948873855 48
1293	Všeobecná ambulancia pre deti a dorast, MUDr. Brigita Telepovská, Košice-Sídl.?ahanovce, (MUDr. Brigita Telepovská)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2674997	48.7549773	POINT (21.267499676831182 48.754977347042384)	POLYGON ((21.259908282838968 48.75225392320803, 21.25989975562562 48.75224986543198, 21.259891457241903 48.75224560526363, 21.259886221804194 48.75224342519918, 21.25988119996784 48.75224103549672, 21.259872112333046 48.75223754993741, 21.259863222425352 
1294	Všeobecná ambulancia pre deti a dorast, MUDr. Mária Tomášková, Košice-Sever, (MEDTOM, s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2506809	48.7313113	POINT (21.25068087679144 48.731311347002304)	POLYGON ((21.240994723309914 48.72612977469771, 21.240993496138117 48.72612895956784, 21.2409819665841 48.72612267405856, 21.240970534770536 48.72611631088814, 21.24096910079669 48.726115660078406, 21.240967758770783 48.726114928452304, 21.24095535352336 
1295	Všeobecná ambulancia pre deti a dorast, MUDr. O?ga Trebišovská, Košice-Staré Mesto, (TISS, spol. s r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2434606	48.7249693	POINT (21.243460576773302 48.72496934699083)	POLYGON ((21.235151458692677 48.72137552104933, 21.235118584981695 48.721371819054156, 21.235085321159424 48.72137026685668, 21.235051987570454 48.72137087940513, 21.235018905231215 48.72137365080049, 21.2349863927386 48.72137855435305, 21.234954763201845
1296	Všeobecná ambulancia pre deti a dorast, MUDr. Anna Szabóová, Košice-Sever, (BENEPED s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2506809	48.7313113	POINT (21.25068087679144 48.731311347002304)	POLYGON ((21.240994723309914 48.72612977469771, 21.240993496138117 48.72612895956784, 21.2409819665841 48.72612267405856, 21.240970534770536 48.72611631088814, 21.24096910079669 48.726115660078406, 21.240967758770783 48.726114928452304, 21.24095535352336 
1297	Všeobecná ambulancia pre deti a dorast, MUDr. Lýdia Zborovjanová, Košice-Západ, (PEDMED s. r. o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2374149	48.7221636	POINT (21.237414876757416 48.7221636469849)	POLYGON ((21.22898278390558 48.71705327857038, 21.228965456719838 48.71703442769233, 21.228945420674258 48.7170167914121, 21.22892286872808 48.717000539575366, 21.228898018069223 48.7169858286948, 21.228871108022652 48.71697280044286, 21.22884239774554 48
1298	Všeobecná ambulancia pre deti a dorast, MUDr. Viera Zgodavová, Košice-Sídl.?ahanovce, (MUDr. Viera Zgodavová)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2674997	48.7549773	POINT (21.267499676831182 48.754977347042384)	POLYGON ((21.259908282838968 48.75225392320803, 21.25989975562562 48.75224986543198, 21.259891457241903 48.75224560526363, 21.259886221804194 48.75224342519918, 21.25988119996784 48.75224103549672, 21.259872112333046 48.75223754993741, 21.259863222425352 
1299	Všeobecná ambulancia pre deti a dorast, Košice-Šaca, (Nemocnica AGEL Košice-Šaca a.s.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.1727106	48.642548	POINT (21.172710576601492 48.64254804684728)	POLYGON ((21.167238040041415 48.63624044362082, 21.167223763201402 48.63624199049894, 21.167209457524546 48.63624341554975, 21.167207340507122 48.63624376987538, 21.167205185635726 48.63624400335255, 21.167191206303638 48.63624647025896, 21.16717718025677
1300	Všeobecná ambulancia pre deti a dorast, MUDr. Lýdia Frigová, Košice-Nad jazerom, (FRIGAPED s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2844925	48.6895806	POINT (21.284492476896435 48.68958064694921)	POLYGON ((21.27827086690702 48.68476152252494, 21.278292547558305 48.684779169824424, 21.27831681046088 48.68479527612575, 21.278343407220365 48.68480967653721, 21.278372065548254 48.68482222363131, 21.278432690063873 48.68484593830586, 21.278438203834273
1301	Všeobecná ambulancia pre deti a dorast, MUDr. Marta Ki?ková, Košice-Sever, (Pedia Care s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2506809	48.7313113	POINT (21.25068087679144 48.731311347002304)	POLYGON ((21.240994723309914 48.72612977469771, 21.240993496138117 48.72612895956784, 21.2409819665841 48.72612267405856, 21.240970534770536 48.72611631088814, 21.24096910079669 48.726115660078406, 21.240967758770783 48.726114928452304, 21.24095535352336 
