ExternalId;Geometry;X;Y;Street;OrientationNumber;Address;Type;District;DistrictTwo;LegalArea;HousingCount
23851;POINT (21.2055581103789 48.707419183542);21.2055581103789;48.707419183542;Pod Hrabinou;16;Pod Hrabinou 16;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23843;POINT (21.2066205178122 48.7068888459487);21.2066205178122;48.7068888459487;Pod Hrabinou;34;Pod Hrabinou 34;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23844;POINT (21.2066143671912 48.7070337476517);21.2066143671912;48.7070337476517;Pod Hrabinou;32;Pod Hrabinou 32;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
29816;POINT (21.2768837 48.7214759);21.2768837;48.7214759;Južné nábrežie;1;Južné nábrežie 1;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
23847;POINT (21.2061749643141 48.7069113083154);21.2061749643141;48.7069113083154;Pod Hrabinou;28;Pod Hrabinou 28;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
29814;POINT (21.2777162 48.7219154);21.2777162;48.7219154;Ražná;2;Ražná 2;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
29813;POINT (21.2774812 48.7221027);21.2774812;48.7221027;Zemplínska;44;Zemplínska 44;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
29812;POINT (21.2777573 48.7221772);21.2777573;48.7221772;Zemplínska;42;Zemplínska 42;Rodinný dom;Košice-Vyšné Opátske;Vyšné Opátske;Nižná Úvrať;1.0
23849;POINT (21.2062203565679 48.7070819618134);21.2062203565679;48.7070819618134;Pod Hrabinou;26;Pod Hrabinou 26;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23850;POINT (21.205825064658 48.7072824578373);21.205825064658;48.7072824578373;Pod Hrabinou;20;Pod Hrabinou 20;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23968;POINT (21.2005967 48.7168384);21.2005967;48.7168384;Na Kope VI;9;Na Kope VI 9;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23969;POINT (21.2018896 48.7166374);21.2018896;48.7166374;Na Kope VI;1A;Na Kope VI 1A;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
23971;POINT (21.2028306 48.7160454);21.2028306;48.7160454;Na Kope X;28;Na Kope X 28;Rodinný dom;Košice-Myslava;Myslava;Myslava;1.0
24093;POINT (21.2555608 48.7536452);21.2555608;48.7536452;Na Sihoti;32;Na Sihoti 32;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24083;POINT (21.2559629748646 48.7549983439381);21.2559629748646;48.7549983439381;Magnezitárska;31;Magnezitárska 31;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24084;POINT (21.255948890296 48.7548926075799);21.255948890296;48.7548926075799;Magnezitárska;29;Magnezitárska 29;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24085;POINT (21.2555595 48.7547319);21.2555595;48.7547319;Magnezitárska;29A;Magnezitárska 29A;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
24086;POINT (21.2549216 48.7543678);21.2549216;48.7543678;Na Sihoti;26;Na Sihoti 26;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;2.0
24087;POINT (21.2561319598306 48.7547679569745);21.2561319598306;48.7547679569745;Magnezitárska;27;Magnezitárska 27;Rodinný dom;Košice-Ťahanovce;Ťahanovce;Ťahanovce;1.0
